Website|owner|link
Laman Web Rasmi Jabatan Meteorologi Malaysia|Dr. Mohd Hisham B Mohd Anip|https://www.met.gov.my/
Official Portal Malaysian Space Agency|Mrs. Nik Mazlina Nik Mustapha|https://www.mysa.gov.my/
Portal Rasmi Jabatan Audit Negara|Patimah Binti Ramuji|https://www.audit.gov.my/
Official Portal for Department of Irrigation and Drainage|Ybhg. Mejar (K) Dato' Dr. Ir. Ahmad Anuar|https://www.water.gov.my/#?mid=209
Portal Rasmi Agensi Pengurusan Bencana Negara|Datuk Khairul Shahril Bin Idrus|https://www.nadma.gov.my/ms/
Portal Rasmi Jabatan Alam Sekitar|Wan Abdul Latiff Bin Wan Jaffar|https://www.doe.gov.my/
Portal Rasmi Kementerian Perdagangan Dalam Negeri dan Hal Ehwal Pengguna|Ybhg. Datin Roszanina Binti Wahab|https://www.kpdnhep.gov.my/ms/
Akademi Sains Malaysia|Seetha Ramasamy|https://www.akademisains.gov.my/
Laman Web Rasmi Kementerian Perumahan dan Kerajaan Tempatan|Tuan Muhammad Razman Bin Abu Samah|https://www.kpkt.gov.my/
Tourism Malaysia|Dato' Hj Zainuddin Abd Wahab|https://www.tourism.gov.my/
Portal Rasmi Unit Transformasi Masyarakat India Malaysia|YBrs. Tuan Raveendran Nair A/L K. Kesavan Nair|https://mitra.gov.my/index.php/bm/
Laman Web Rasmi Majlis Keselamatan Negara|Datuk Rodzi Md Saad|https://www.mkn.gov.my/web/ms/
Portal Rasmi JPM Unit Pemodenan Tadbiran dan Perancangan Pengurusan Malaysia|En. Azih Bin Yusof|https://www.mampu.gov.my/
Official Portal Office of the Chief Registrar Federal Court of Malaysia|Zamri Bin Bakar|https://www.kehakiman.gov.my/en
Kementerian Tenaga dan Sumber Asli|Tuan Ahmad Bin Tuan Wil|https://www.ketsa.gov.my/ms-my/Pages/default.aspx
Portal Rasmi Lembaga Lebuhraya Malaysia|Puan Haslina Binti Hashim|https://www.llm.gov.my/
Portal Rasmi Jabatan Perdana Menteri |Ybhg. Datuk Mohammad Bin Ismail|https://www.jpm.gov.my/ms/
Malaysian Nuclear Agency official portal|Dr. Rosli Bin Darmawan|https://www.nuclearmalaysia.gov.my/eng/#gsc.tab=0
Petronas|YM Datuk Tengku Muhammad Taufik Tengku Kamadjaja Aziz|https://www.petronas.com/
Portal Rasmi Jabatan Sukarelawan Malaysia|Ybrs. Muhammad Ridzuan Bin Zawawi|https://www.rela.gov.my/
Laman Web Rasmi Majlis Sukan Negara Malaysia|Hazani Bin Hashim|https://www.nsc.gov.my/
Felda Official Portal|YB Dato' Seri Hj Idris Bin Jusoh|https://www.felda.gov.my/en/
Official Website Malaysian Institute of Defence and Security |"	YB Dato' Seri Hishamuddin Bin Tun Hussein"|https://midas.mod.gov.my/
Portal Rasmi Jabatan Kebajikan Masyarakat|Rosmahwati Binti Ishak|https://www.jkm.gov.my/jkm/index.php
Tenaga Nasional Berhad|Datuk Ir. Baharin Bin Din|https://www.tnb.com.my/
Permodalan Nasional Berhad|Ahmad Zulqarnain Onn|https://www.pnb.com.my/
Prasarana Malaysia Berhad| YBhg Tan Sri Jamaludin Ibrahim |https://www.prasarana.com.my/
SIRIM|Dato Dr Ahmad Sabirin Bin Arshad|https://www.sirim.my/
Institut Jantung Negara|Datuk Dr Aizai Azan Abd Rahim|https://www.ijn.com.my/
Syarikat Perumahan Negara Berhad |Ybhg. Datuk Hasleen Bin Isnin|https://spnb.com.my/
MIMOS|Dr. Iskandar Samad|https://www.mimos.my/
Malaysia Development Bank|Roni Abdul Wahab|https://www.bpmb.com.my/
Amanah Raya Berhad|Aini Fariza Hj Mohd Yusoff|https://www.amanahraya.my/
Portal Rasmi Dewan Bandaraya Kuala Lumpur|Datuk Sr. Hj. Kamarulzaman Bin Mat Salleh|https://www.dbkl.gov.my/
Portal Rasmi Polis Diraja Malaysia|Tan Sri Acryl Sani Hj. Abdullah Sani|https://www.rmp.gov.my/
Prime Minister's Office of Malaysia Official Website|YAB Dato’ Sri Ismail Sabri bin Yaakob|https://www.pmo.gov.my/
Jabatan Agama Islam Selangor|Mohd Fauzal Bin Abdul Raji|https://www.jais.gov.my/v2/index.php
Portal Rasmi Jabatan Mineral dan Geosains Malaysia|Ybrs. En. Zamri Bin Ramli|https://www.jmg.gov.my/index.php?lang=ms
Portal Rasmi Jabatan Kemajuan Orang Asli|Hjh Sapiah Binti Dato' Mohd Nor|https://www.jakoa.gov.my/
Portal Rasmi Jabatan Warisan Negara|YBrs. Encik Mohamad Muda Bin Bahadin|https://www.heritage.gov.my/
Laman Web Rasmi Suruhanjaya Koperasi Malaysia|Tuan Hj Zazali Bin Haron|https://www.skm.gov.my/index.php/my/
Laman Web Rasmi Jabatan Perhubungan Perusahaan Malaysia|Khalid Bin Jali|https://jpp.mohr.gov.my/
Portal Rasmi Jabatan Kerjaraya Malaysia|YBrs. Sr Amran bin Haji Mohd Majid|https://www.jkr.gov.my/
Portal Rasmi Jabatan Ukur dan Pemetaan Malaysia|Ybrs. Sr. Mohammad Zaki Bin Mohd Ghazali|https://www.jupem.gov.my/
Official Portal of PLANMalaysia|YBrs. TPr Dr. Alias bin Rameli|https://www.planmalaysia.gov.my/index.php/en/
Portal Rasmi Jabatan Kemajuan Masyarakat|Puan Rafea’ah binti Haji Nahar|https://www.kemas.gov.my/
Laman Web Rasmi Agensi Antidadah Kebangsaan|Chan Hong Jin|https://www.adk.gov.my/en/#
Official Portal of Malaysian Palm Oil Board|Datuk Dr. Ahmad Parveez Hj Ghulam Kadir|https://www.mpob.gov.my/
Portal Rasmi Majlis Amanah Rakyat|Rohayah binti Mohd Zain|https://www.mara.gov.my/en/index/
Suruhanjaya Persaingan Malaysia|Encik Iskandar Bin Ismail|https://www.mycc.gov.my/
Portal Rasmi Suruhanjaya Perkhidmatan Pendidikan|Encik Ahmad Tarmizi bin Zakaria|https://www.spp.gov.my/ms/
Official Website Enforcement Agency Integrity Commission|Mohd Hatta Bin Ishak|http://www.eaic.gov.my/en
PLUS|Datuk Azman Ismail|https://www.plus.com.my/index.php?lang=en
Malaysia Airports|Dato' Iskandar Mizal Mahmood|https://www.malaysiaairports.com.my/
Kumpulan Wang Persaraan|Puan Nik Amlizan Binti Mohamed|https://www.kwap.gov.my/en/
Lembaga Pembangunan Industri Pembinaan Malaysia|Datuk Ir. Ahmad ‘Asri Abdul Hamid|https://www.cidb.gov.my/
Board of Engineers Malaysia|"	YBhg. Datuk Ir. Haji Mohamad Zulkefly bin Sulaiman"|http://bem.org.my/web/guest/home
Board of Architects Malaysia|Datin Ar. Yong Razidah bt. Rashid|https://www.lam.gov.my/
The Official Website Board of Quantity Surveyors Malaysia|YBhg Dato’ Sr Aziz bin Abdullah|https://www.bqsm.gov.my/
Portal Rasmi Jabatan Akauntan Negara Malaysia|YBhg. Datuk Dr. Yacob bin Mustafa|https://www.anm.gov.my/utama
Laman Portal Rasmi Program Perkhidmatan Farmasi KKM|Pn. Norhaliza binti A Halim|https://www.pharmacy.gov.my/v2/ms
Lembaga Tabunng Haji|Tan Sri Azman Hj Mokhtar|https://www.tabunghaji.gov.my/#
Lembaga Peperiksaan KPM|Ybrs. Dr. Mohd Azam Bin Ahmad|http://lp.moe.gov.my/
Portal Rasmi Majlis Peperiksaan Malaysia|En. Adnan Bin Husin|https://www.mpm.edu.my/
Portal Rasmi Lembaga Perindustrian Kayu Malaysia|Mohd Amin bin Kadir|https://www.mtib.gov.my/
Official Portal Malaysian Pineapple Industry Board|YB Dato' Dr Sahruddin Bin Hj Jamal|https://www.mpib.gov.my/en/home/
Portal Rasmi Lembaga Penduduk dan Pembangunan Keluarga Negara|Encik Adzhar Bin Ismail|https://www.lppkn.gov.my/lppkngateway/frontend/web/index.php?r=portal%2Findex
Labuan FSA|Datuk Siti Zainab Omar|https://www.labuanfsa.gov.my/
Portal Rasmi Lembaga Kaunselor Malaysia|YBrs. Prof. Madya Dr. Wan Marzuki bin Wan Jaafar|https://www.kpwkm.gov.my/kpwkm/index.php?r=portallkm/index#!
Yayasan Kebajikan Negara |YB Datuk Seri Rina Mohd Harun|https://yknm.org.my/
Portal Rasmi Jabatan Pembangunan Wanita|Norshahidawati Abdullah|https://www.jpw.gov.my/index.php/ms/
Laman Web Rasmi Institusi Sosial Malaysia|Dr. Faridah binti Awang|http://www.ism.gov.my/en/
PERKESO|Dato' Sri Dr. Mohammed Azman Bin Dato' Aziz Mohammed|https://www.perkeso.gov.my/
Portal Rasmi Jabatan Tenaga Manusia|En. Mat Setia bin Mohd Raji|https://www.jtm.gov.my/2015v3/
Laman web Rasmi Majlis Pembangunan Kemahiran Kebangsaan (MPKK)|Datuk Haji Awang bin Hashim|https://www.dsd.gov.my/mpkk/index.php/ms/
TalentCorp|Thomas Mathew|https://www.talentcorp.com.my/
Official Website National Institute of Occupational Safety and Health|YB Datuk Wilson Ugak Anak Kumbong |http://www.niosh.com.my/
Official Website Department of Occupational Safety and Health |"	Mohd Anuar bin Embi"|https://www.dosh.gov.my/
Official Portal Skills Development Fund Coorporation |Mohd Fathullah Bin Mustafa |https://www.ptpk.gov.my/
Laman Web Rasmi Jabatan Hal Ehwal Kesatuan Sekerja|En. Mohd Azmi Bin Muhammud|https://jheks.mohr.gov.my/
Laman Web Rasmi Jabatan Perlindungan Hidupan Liar dan Taman Negara |Ybhg. Dato Abdul Kadir Bin Abu Hashim|https://www.wildlife.gov.my/
Perbadanan Stadium Malaysia|Tan Sri Abd Rashid Bin Abd Manaf|https://www.stadium.gov.my/
Institut Sukan Negara|YBhg. Prof. Dato’ Dr. Rahmat bin Mohamad|https://isn.gov.my/
Laman Web Rasmi Perbadanan Labuan |Tn. Hj. Rithuan bin Hj. Mohd Ismail|https://www.pl.gov.my/
Majlis Sukan Wilayah Persekutuan |Nabilah Binti Zakaria|https://www.wipers.gov.my/
Malaysia Steel Institute|Mr. Lim Keng Yow|https://malaysiasteelinstitute.com/
Institut Automotif Robotik dan IoT Malaysia|Dato' Madani Sahari|https://marii.my/
MIDF Berhad|Dominic Silva|https://www.midf.com.my/
Official Website Malaysia Productivity Corporation|Dato Abd Latif Hj Abu Seman|https://www.mpc.gov.my/home
The Official Website of Department of Standards Malaysia|Shaharul Sadri Alwi|https://www.jsm.gov.my/
Majlis Rekabentuk Malaysia|Sulaiman Arshad|https://www.mrm.gov.my/
National Metrology Institute of Malaysia|Dr. Osman Zakaria|https://www.nmim.gov.my/
Portal Rasmi Majlis Perbandaran Selayang |Tuan Ir. Haji Cheremi Bin Haji Tarman|https://www.mps.gov.my/
Laman Web Rasmi Jabatan Muzium Malaysia|Datuk Kamarul Baharin bin A.Kasim|http://www.jmm.gov.my/ms
Portal Rasmi Kemajuan Terengganu Tengah |Tuan Haji Ahmad Fakaruddin bin Ahmad|https://www.ketengah.gov.my/
Official Website Felcra Berhad|Mat Roni|https://felcra.com.my/
Portal Rasmi Pihak Berkuasa Kemajuan Pekebun Kecil Perusahaan Getah|YB Datuk Seri Hj Mohd Salim Bin Mohd Sharif |https://www.risda.gov.my/my/
Lembaga Kemajuan Wilayah Pulau Pinang|Puan Noor Hayati binti Ishak|https://www.perda.gov.my/
Laman Web Rasmi Lembaga Kemajuan Wilayah Kedah|Hajah Afifah Binti Omar|https://www.keda.gov.my/
Portal Rasmi Lembaga Kemajuan Johor Tenggara|YB Dato’ Haji Che Zakaria bin Mohd Salleh'|https://www.kejora.gov.my/
Laman Web Rasmi Lembaga Kemajuan Pertanian Muda |Dzulkifli Bin Yaakob|https://www.mada.gov.my/
Portal Rasmi Lembaga Pemasaran Pertanian Persekutuan |YB Dato' Hj Mohd Fasiah Bin Hj Mohd Fakeh|https://www.fama.gov.my/web/pub/utama
Portal Rasmi Jabatan Perkhidmatan Kuarantin dan Pemeriksaan Malaysia|Shamsul Akbar bin Sulaiman|https://www.maqis.gov.my/
Portal Rasmi Jabatan Perkhidmatan Veterinar||https://www.dvs.gov.my/
Maybank Berhad|Abdul Farid Alias|https://www.maybank.com/en/index.page
Forest Research Institute Malaysia|Dr Ismail Haji Parlan|https://www.frim.gov.my/
Puspanita Kementerian Sumber Manusia|YBhg. Datin Nor Laila Saleh|http://puspanita.mohr.gov.my/
Portal Rasmi Institut Maklumat dan Analisis Pasaran Buruh|Puan Betty Binti Hasan|https://www.ilmia.gov.my/index.php/my/dashboard-datamart
Tekun Nasional|Ustaz Shaharizukirnain Bin Abd Kadir|https://www.tekun.gov.my/en/
Official Portal Perbadanan Usahawan Nasional Berhad|Izwan Zainuddin|https://www.punb.com.my/en/
Malaysian Global Innovation and Creativity Centre|Khalid Yashaiya|https://www.mymagic.my/
Portal Rasmi Institut Kemajuan Desa|Noraina Binti Masduki @ Abdul Hanan|https://www.infra.gov.my/
Jabatan Biokeselamatan|Ybrs. Dr. Azalia Binti Mohamed|https://www.biosafety.gov.my/en/
Lembaga Teknologi Malaysia|YBhg. Datuk Ts. Ir. Dr. Siti Hamisah Binti Tapsir|https://www.mbot.org.my/
Portal Rasmi Istana Budaya||http://istanabudaya.gov.my/en/
Portal Rasmi Arkib Negara Malaysia|En Zaidin Bin Mohd Noor|http://www.arkib.gov.my/web/guest/home
Portal Rasmi Perbadanan Kemajuan Kraftangan Malaysia |Yang Berusaha Puan Aididah Binti Ibrahim|https://www.kraftangan.gov.my/
National Housing Corporation|YBhg Datuk Seri Haji Mohd Nazri bin Md. Shariff|https://www.pr1ma.my/
Percetakan Nasional Malaysia Berhad|Mohd Shahar Yope|https://www.printnasional.com.my/
Portal Rasmi Jabatan Perpaduan Negara dan Integrasi Nasional|Noor Azezee Bin Mohd Nasir|https://www.jpnin.gov.my/
Malaysian Financial Planning Council |Ms Chung Kar Yin|https://www.mfpc.org.my/
Official Portal National Kenaf and Tobacco Board|Tuan Haji Wan Baharuddin Bin Wan Ismail|https://www.lktn.gov.my/index.php/en/
Malaysia Debt Ventures Berhad|TBrs. En. Nizam Mohamed Nadzri|https://www.mdv.com.my/v3/
Perbadanan Tabung Pendidikan Tinggi Nasional |YBhg. Datuk Wan Saifulruddin Wan Jan|https://www.ptptn.gov.my/
Laman Web Rasmi Pusat Darah Negara|Zain Azrai bin Rashid|https://pdn.gov.my/v2/
Regional Corridor Development Authority |Datu Haji Ismawi Bin Haji Ismuni|https://recoda.gov.my/
Yayasan Hijau Malaysia|Amin Abdullah|http://yahijau.com/
Institut Keusahawanan Negara|Muhd Firdaus Azharuddin|https://www.insken.gov.my/home/
National Water Reseach Institute Malaysia|Ir. Mohd Zaki bin Mat Amin|https://www.nahrim.gov.my/
Laman Web Rasmi Dewan Bahasa dan Pustaka|DATUK HAJI ABANG SALLEHUDDIN BIN ABG SHOKERAN|http://lamanweb.dbp.gov.my/
Portal Rasmi Angkatan Tentera Malaysia|General Tan Sri Dato Sri Hj Affendi Bin Bujang|https://www.mafhq.mil.my/index.php/ms/#MWAjKh-z5p4
Laman Rasmi Perbadanan Hal Ehwal Bekas Angkatan Tentera|Tuan Haji Zakariah bin Haji Md Sam|https://www.perhebat.com.my/
Official Portal Department of Waqaf, Zakat and Hajj|Tuan Hj Ahmad Fuad Bin Apandi|https://www.jawhar.gov.my/en/public/
Portal Rasmi Jabatan Agama Islam Wilayah Persekutuan |Shamsul Akmal Bin Abd Aziz|https://www.jawi.gov.my/
Portal Rasmi Institut Tadbiran Awam Negara|Datuk Dr. Alauddin Sidal |https://www.intanbk.intan.my/iportal/ms/
Ekuiti Nasional Berhad|Syed Yasir Arafat Syed Abd Kadir|https://www.ekuinas.com.my/
Yayasan Dakwah Islamiah Malaysia|Ybrs. Ustaz Hj Nasrudin Bin Hasan|https://www.yadim.com.my/v2/
Department of Broadcasting|Datuk Ruzain bin Idris|https://www.rtm.gov.my/
Professional Training & Education For Growing Entrepreneurs||http://protege.gov.my/www/
Official Portal Kampong Bharu Development Corporation|Encik Shahrul Ezad Bin Samsudin|https://www.pkb.gov.my/?page_id=158&lang=en
Northern Corridor Implementation Authority|Hasri A. Hasan|https://www.ncer.com.my/
Official Website Institute of Diplomacy and Foreign Relations |Dato' Dr. Shazelina Zainul Abidin|https://www.idfr.gov.my/
Malaysian Healthcare Travel Council|Mohd Daud Mohd Arif|https://www.mhtc.org.my/
Official Website Institute for Medical Research|Datuk Dr. Hishamshah Bin Mohd Ibrahim|https://www.imr.gov.my/en/
Official Portal Institiute for Public Health |Dr. Noor Ani Binti Ahmad|https://iku.moh.gov.my/
Official Portal Institute for Health Behavioural Research|Dr. Manimaran A/L Krishnan|https://iptk.moh.gov.my/
Laman Web Rasmi Institut Kanser Negara|Dr. Mohd Anis bin Haron @ Harun|https://nci.moh.gov.my/index.php/ms/
The Official Portal of Malaysian Qualifications Agency |Prof. Dato' Dr. Mohammad Shatar bin Sabran|https://www.mqa.gov.my/pv4/index.cfm
Portal Rasmi Jabatan Pendaftaran Pertubuhan Negara |YBrs. Encik Wan Zainul Azam bin Khamid@ Abdul Majid |https://www.ros.gov.my/www/portal-main/home
Laman Web Rasmi Lembaga Penapis Filem |Dato’ Hj. Mohd Dusuki bin Hj. Ya’acob|http://lpf.moha.gov.my/lpf/index.php/ms/
Malaysian Palm Oil Certification Council|Mohammad Hafezh Abdul Rahman|https://www.mpocc.org.my/
Official Website of Malaysian Rubber Council|Nor Hizwan bin Ahmad|https://www.myrubbercouncil.com/
Laman Web Rasmi Pusat Sains Negara |Mismah Jimbun|https://www.psn.gov.my/
Yayasan Inovasi Malaysia|Sharmila binti Mohamed Salleh|https://www.yim.my/en/
Islamic Tourism Centre|Dato’ Dr. Mohmed Razip Haji Hasan|https://itc.gov.my/#
Agensi Anti Doping Malaysia|Azura Binti Abidin|https://www.adamas.gov.my/en/
Malaysia Convention and Exhibition Bureau|YBhg. Dato’ Sri Abdul Khani bin Daud|https://www.myceb.com.my/
National Visual Arts Development Board|Amerrudin Bin Ahmad|https://www.artgallery.gov.my/en/homepage/
Portal Rasmi Kementerian Pelancongan Seni dan Budaya|YB Dato' Sri Hjh Nancy Shukri |https://www.motac.gov.my/
Port Klang Authority |V.Vijayaindiaran|https://www.pka.gov.my/index.php/en/
Official Portal Institute for Health System Research|Dr. Sondi Sararaks|https://ihsr.moh.gov.my/
Agrobank|YM Tengku Ahmad Badli Shah Raja Hussin|https://www.agrobank.com.my/
Official Portal Institute for Clinical Research Centre|YBHG. DATUK DR. KALAIARASU M. PEARIASAMY|https://www.crc.gov.my/
Malaysian Timber Certification Council |Siti Syaliza Mustapha|https://mtcc.com.my/
Portal Rasmi Bahagian BLESS||https://www.bless2.gov.my/
Portal Rasmi Kementerian Pembangunan Usahawan dan Koperasi|Noor Azman Bin Muhammad Noor|https://www.medac.gov.my/
Portal Rasmi Tentera Dilaut Raja Malaysia||https://www.navy.mil.my/index.php/ms/
Perbadanan Kemajuan Negeri Melaka|YBhg. Datuk Haji Azmi bin Haji Hussain|http://www.pknm.gov.my/
Laman Web Rasmi Perbadanan Kemajuan Negeri Sembilan |Puan Rusmimah binti Mat Derus|https://www.pknns.gov.my/
Portal Rasmi Perbadanan Kemajuan Negeri Pahang|Datin Hjh Noraskin Bt Jamaludin |https://www.pknp.gov.my/
Perbadanan Pembangunan Ekonomi Sabah |En. Haizar Razif Hisyam |http://www.sedco.com.my/v2/index.php
Laman Web Rasmi Perbadanan Memajukan Iktisad Negeri Terengganu|YAB Dato' Seri Dr. Ahmad Samsuri bin Mokhtar|https://www.pmint.gov.my/v3/main.php
Johor Corporation |YBHG DATUK SYED MOHAMED BIN SYED IBRAHIM|https://jcorp.com.my/
Perbananan Memajukan Iktisad Negeri Kelantan |YABrs. Ab Aziz Bin Yunus|https://www.pkink.gov.my/
Perbadanan Kemajuan Negeri Perak |Ybhg. Datuk Redza Rafiq Abd Razak|http://www.pknpgroup.com.my/page/1/Home/
Malaysia Petroleum Resources Corporation|Mohd Yazid Ja'afar|https://www.mprc.gov.my/
